pm25,pm10,o3,no2,so2
12.18,56.66,16.99,6.21,0.33
15.96,57.73,21.41,6.27,1.05
13.71,49.09,35.07,5.8,10.21
10.69,51.0,19.26,5.67,14.8
8.71,55.78,21.66,6.18,5.67
7.32,53.45,18.19,6.15,3.99
13.02,61.84,28.5,6.11,7.58
16.31,85.78,12.23,6.75,0.08
13.12,97.65,22.19,6.54,0.0
11.66,95.41,25.29,6.42,0.0
10.33,102.34,59.14,6.28,0.1
8.94,110.18,39.42,6.43,0.26
13.43,109.63,9.32,6.52,0.05
15.62,109.97,38.42,6.83,0.0
12.89,104.86,21.92,6.76,0.0
11.31,100.04,20.25,6.5,0.0
9.61,98.99,60.24,6.31,0.63
8.05,102.25,37.93,6.25,1.1
7.87,106.38,10.29,6.44,0.17
8.31,101.9,41.51,6.74,0.0
8.43,97.56,19.05,6.86,0.0
8.15,96.17,12.94,6.48,0.0
7.19,93.93,9.18,6.56,0.0
7.07,90.87,17.15,6.32,1.44
9.13,87.36,15.58,6.26,0.0
8.77,78.04,21.33,6.55,0.0
9.46,60.37,19.76,5.94,0.27
9.04,46.25,23.85,6.32,2.82
6.89,42.78,13.08,6.07,3.96
5.17,48.15,12.75,6.06,8.33
4.2,54.04,17.13,6.33,0.23
4.45,59.66,16.5,6.43,0.0
5.31,57.8,12.75,6.27,0.0
5.88,56.84,11.31,6.43,0.15
6.08,60.75,7.58,6.32,0.34
9.41,58.41,12.3,6.35,0.0
10.91,57.82,10.86,6.63,0.0
10.01,58.95,14.0,6.5,0.0
9.73,66.17,11.7,6.3,0.0
9.24,76.15,13.61,6.19,0.0
7.52,76.67,17.58,6.32,0.0
7.1,73.28,19.79,6.16,0.0
7.0,67.53,23.38,6.5,0.0
9.18,63.21,23.13,6.49,0.0
8.13,64.69,7.95,6.66,0.0
11.94,61.58,20.54,6.24,0.0
20.16,57.66,19.39,5.54,8.45
20.19,53.48,17.44,5.48,5.44
15.55,49.27,24.58,5.65,2.98
12.54,42.91,29.88,5.49,13.21
9.39,47.15,22.09,6.0,4.83
7.78,46.72,23.22,5.97,0.68
6.6,40.35,20.38,5.5,6.12
6.4,39.02,21.89,5.95,0.08
6.95,41.21,25.29,6.13,0.0
6.59,45.08,15.93,6.13,0.0
5.32,45.23,16.3,6.17,0.0
3.89,45.22,14.02,6.1,0.0
4.29,43.11,17.59,5.87,0.53
5.15,41.51,11.4,5.97,0.0
4.46,41.34,22.68,5.94,0.0
3.87,41.81,16.98,6.02,0.0
4.21,43.51,10.33,5.96,0.02
4.21,44.46,10.08,5.88,0.06
4.2,43.6,21.01,6.02,0.33
4.49,47.43,7.59,6.29,0.0
5.71,55.84,16.06,6.31,0.0
5.44,56.17,11.09,6.03,0.0
5.47,55.39,13.78,6.06,0.75
5.35,56.88,18.35,5.74,3.21
5.18,55.12,20.25,5.61,11.7
6.14,53.17,31.3,5.72,6.84
6.86,53.4,25.06,5.5,4.79
6.95,54.94,28.98,5.13,18.48
6.85,53.63,23.34,5.48,13.89
7.0,51.9,28.92,5.87,5.02
9.68,51.23,22.62,5.51,12.25
10.5,49.17,30.85,5.93,3.58
9.95,46.63,20.56,5.76,0.0
10.01,41.33,24.18,5.78,1.56
8.33,42.18,18.36,5.89,4.27
6.71,45.75,13.84,6.13,4.41
18.3,42.59,35.2,5.7,6.17
23.41,38.18,14.89,5.83,0.11
17.62,35.87,9.09,6.39,0.0
12.87,37.52,9.88,6.11,0.0
9.44,38.81,12.7,6.04,0.0
8.51,40.83,11.45,5.89,0.0
16.18,46.16,29.54,5.74,1.02
18.25,50.9,16.41,6.11,0.0
14.47,62.56,12.59,6.14,0.0
16.54,74.12,17.16,5.92,0.0
17.1,71.84,16.21,5.85,0.21
13.36,64.75,22.09,5.92,0.26
18.91,61.63,22.9,5.23,12.3
20.96,57.02,22.14,5.04,19.64
13.39,42.57,21.76,5.6,9.77
10.09,46.44,27.17,5.41,2.29
8.05,51.14,21.28,5.44,8.06
6.09,51.09,16.9,5.49,0.13
4.56,49.87,25.37,5.73,0.21
5.79,51.4,21.86,5.46,9.61
7.49,50.26,18.93,5.6,10.06
7.77,50.5,38.57,5.98,0.03
7.17,51.44,35.21,6.2,0.0
5.89,45.89,24.56,5.9,3.83
5.35,43.37,25.64,5.77,3.47
6.39,45.9,19.6,5.71,5.26
6.47,45.3,33.86,5.77,3.58
6.57,48.21,26.43,5.88,0.0
6.99,50.83,24.48,5.58,0.0
5.9,55.63,14.47,5.7,1.02
6.0,61.78,18.15,5.81,2.17
5.91,63.75,17.34,5.57,4.74
5.52,67.64,29.9,5.56,4.14
5.24,73.08,12.92,5.61,0.0
4.71,74.88,16.35,5.55,1.35
5.15,74.54,31.45,5.51,1.75
4.81,77.22,40.05,5.55,1.44
4.8,69.5,30.59,5.07,7.34
5.85,61.17,35.2,5.18,10.75
5.94,63.43,51.35,5.71,0.48
5.83,67.66,23.92,5.48,0.79
6.27,69.37,26.27,5.64,3.07
6.02,63.86,27.11,5.69,5.31
4.81,61.02,21.36,5.53,8.17
3.78,63.16,32.72,5.41,5.22
4.54,64.92,15.3,6.0,0.0
6.13,63.79,21.38,5.78,0.0
7.55,57.72,22.38,5.86,2.5
7.62,53.66,23.51,5.93,2.28
11.57,53.52,16.9,5.51,5.27
12.86,49.44,38.61,5.66,2.95
11.11,47.3,12.76,5.84,0.0
9.96,50.61,11.42,5.7,0.0
9.44,56.36,9.21,5.77,0.38
7.85,62.99,12.22,5.84,1.38
6.84,68.56,13.14,5.55,4.76
7.48,74.89,36.46,5.81,3.42
7.45,74.43,11.16,5.96,0.0
6.32,71.38,17.92,5.44,3.64
16.71,73.91,18.27,5.12,22.5
21.42,74.39,16.15,5.35,19.67
17.35,69.18,38.75,5.07,21.44
14.12,64.66,34.28,5.03,30.64
11.93,60.78,34.15,5.44,14.97
10.39,58.79,21.91,5.35,9.9
8.64,58.73,14.49,5.59,10.69
6.56,60.22,12.7,5.82,3.05
5.69,61.6,12.4,5.55,7.88
5.3,58.24,25.56,5.64,7.67
4.8,57.69,37.97,5.91,0.0
3.9,55.54,18.33,5.75,1.12
3.32,48.59,13.92,5.77,0.0
4.52,44.92,12.11,5.77,0.07
5.41,44.57,12.71,5.53,1.6
5.92,46.62,34.22,5.66,1.69
6.48,47.7,18.35,5.95,0.0
5.96,44.42,7.56,5.78,0.0
6.37,39.37,12.14,6.02,0.0
6.09,35.61,10.93,6.16,0.0
6.26,39.17,13.77,5.84,0.75
6.61,48.81,33.01,6.02,0.95
6.7,48.97,7.36,6.07,0.0
5.81,47.36,15.46,5.95,0.0
6.19,47.87,16.98,6.01,0.0
8.46,49.3,15.94,5.97,0.0
9.25,49.65,11.87,5.51,2.62
7.9,45.17,28.18,5.33,5.27
5.99,42.88,30.19,5.62,0.0
5.02,42.47,8.62,5.38,0.53
4.62,36.81,8.67,5.69,3.03
4.47,31.91,14.0,5.99,0.01
4.8,32.87,10.12,5.76,1.49
4.28,28.04,31.1,5.78,1.54
3.21,24.6,9.79,6.19,0.0
