location_id,location_name,latitude,longitude,co,no2,o3,pm10,pm25,so2
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6453.2,7.2,16.59,42.48,9.4,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5241.6,7.26,8.21,36.71,8.93,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,4733.1,7.0,7.7,36.64,8.79,0.11
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6274.1,6.9,10.25,35.93,8.71,1.59
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5576.1,7.05,4.36,31.28,8.1,0.16
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,3936.6,6.75,8.43,32.21,8.25,0.09
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5176.7,7.05,15.88,30.56,7.95,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,4412.5,7.06,9.52,26.02,6.93,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,3923.3,7.04,4.08,22.41,8.73,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5575.9,6.99,2.07,20.45,9.96,1.16
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,4468.4,7.17,1.32,19.42,8.16,0.05
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,3954.5,7.19,9.57,20.58,7.12,0.01
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5721.2,7.33,14.29,22.12,6.63,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5563.4,7.46,10.88,25.35,6.87,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5744.7,7.22,12.84,30.49,9.36,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7409.4,7.06,10.92,32.34,10.49,1.22
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6760.6,6.91,14.18,38.07,9.29,5.05
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6179.3,6.66,18.53,35.89,10.75,10.63
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8054.4,6.97,17.3,30.66,10.63,2.37
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7933.2,7.03,22.99,27.11,8.86,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7299.0,6.97,8.87,27.74,7.72,0.05
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8928.4,6.98,6.32,32.84,7.08,2.04
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9859.4,6.93,7.87,40.94,5.79,4.6
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8986.9,6.95,15.83,50.23,6.29,8.14
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8923.9,7.33,21.33,51.09,6.4,1.16
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7452.9,7.56,11.7,53.25,6.39,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7711.6,7.31,6.34,57.72,6.2,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,9323.5,7.1,6.29,69.51,4.87,1.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6158.9,7.17,1.9,91.49,9.08,3.17
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7167.3,6.98,7.2,135.79,12.01,5.41
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8035.2,7.2,22.21,173.12,10.08,0.61
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6996.8,7.32,11.46,180.34,10.09,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6300.9,7.12,7.08,170.05,10.46,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7827.8,7.02,7.11,160.63,9.94,0.97
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7533.6,7.0,3.57,167.69,9.68,1.5
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7120.1,7.02,6.64,175.59,8.64,4.71
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7122.5,7.47,21.42,166.19,9.3,0.54
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6387.6,7.56,14.96,144.08,12.43,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5264.4,7.34,8.67,116.7,12.5,0.11
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,4720.9,7.03,11.74,81.73,9.79,4.24
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,4177.0,6.73,12.63,56.88,9.0,10.37
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,4737.0,6.87,17.9,52.47,8.79,13.83
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5610.8,6.97,17.0,45.4,8.63,6.59
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6975.1,7.14,27.77,40.71,7.81,0.09
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6539.6,6.95,17.18,44.03,6.72,1.46
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5413.4,6.62,8.88,46.19,6.23,7.18
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5517.1,6.7,10.15,47.66,9.76,11.29
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,5773.1,6.58,16.83,50.97,10.77,12.98
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6702.0,7.32,14.53,56.3,8.73,3.94
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6919.9,7.25,25.12,64.54,8.37,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6020.5,7.2,19.33,70.54,7.19,0.02
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,6515.9,7.02,3.04,68.81,6.91,2.94
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7917.1,7.06,17.97,65.81,6.36,4.84
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8178.6,6.71,19.06,61.58,5.55,7.34
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8561.1,6.93,5.97,60.29,5.24,1.46
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8296.2,7.45,4.67,50.06,5.04,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7131.6,7.09,10.96,37.96,4.2,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8321.6,7.25,14.9,37.14,3.43,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7768.0,7.19,7.89,43.91,3.48,0.04
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7093.2,6.94,9.47,51.31,4.37,2.72
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8470.3,7.19,16.5,52.37,5.42,0.67
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7934.7,7.45,12.17,45.7,6.16,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8086.8,7.24,11.68,39.2,6.72,0.0
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8051.0,7.05,14.14,42.65,6.39,0.96
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8040.2,6.87,14.47,52.38,8.72,5.09
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,7600.6,6.44,16.48,50.2,10.36,10.64
2161306,Minh Khai - Bắc Từ Liêm,21.05,105.74,8142.4,6.44,25.35,42.48,9.77,19.54
